new data
[0, 7, 0, 1], [0, 7, 0, 1]
[1, 4, 1, 1], [1, 3, 1, 1]
[2, 15, 2, 1], [2, 3, 2, 1]
[3, 5, 3, 1], [3, 11, 3, 1]
[4, 22, 4, 1], [4, 8, 4, 1]
[5, 4, 1, 1], [5, 8, 5, 1]
[6, 4, 5, 1], [6, 4, 6, 1]
[7, 11, 6, 1], [7, 3, 7, 1]
[8, 4, 7, 0], [8, 3, 8, 0]
[9, 4, 1, 0], [9, 3, 8, 0]
[10, 5, 8, 1], [10, 3, 8, 1]
[11, 6, 9, 1], [11, 6, 9, 1]
[12, 10, 10, 0], [12, 2, 10, 0]
[13, 2, 11, 1], [13, 2, 10, 1]
[14, 10, 12, 1], [14, 1, 11, 1]
[15, 1, 13, 0], [15, 1, 11, 0]
[16, 1, 14, 1], [16, 1, 12, 1]
[17, 1, 15, 0], [17, 1, 12, 0]
[18, 2, 11, 1], [18, 0, 13, 1]
[19, 0, 16, 1], [19, 2, 14, 1]
[20, 9, 17, 1], [20, 0, 15, 1]
[21, 10, 10, 1], [21, 0, 16, 1]
[22, 1, 18, 1], [22, 1, 17, 1]
[23, 2, 19, 1], [23, 2, 18, 1]
new data
[0, 1, 0, 1], [0, 1, 0, 1]
[1, 2, 1, 1], [1, 2, 1, 1]
[2, 3, 2, 1], [2, 22, 2, 1]
[3, 8, 3, 1], [3, 8, 3, 1]
[4, 2, 1, 1], [4, 2, 4, 1]
[5, 2, 1, 1], [5, 10, 5, 1]
[6, 1, 4, 1], [6, 1, 6, 1]
[7, 2, 1, 1], [7, 2, 7, 1]
[8, 4, 5, 1], [8, 8, 8, 1]
[9, 8, 6, 0], [9, 8, 8, 0]
[10, 3, 7, 1], [10, 7, 9, 1]
[11, 2, 1, 1], [11, 4, 10, 1]
[12, 11, 8, 0], [12, 4, 10, 0]
[13, 4, 9, 0], [13, 4, 11, 0]
[14, 4, 9, 1], [14, 4, 11, 1]
[15, 11, 10, 0], [15, 3, 12, 0]
[16, 11, 10, 1], [16, 3, 12, 1]
new data
[0, 7, 0, 1], [0, 0, 0, 1]
[1, 3, 1, 0], [1, 2, 1, 0]
[2, 3, 1, 1], [2, 2, 1, 1]
[3, 3, 1, 0], [3, 2, 1, 0]
[4, 2, 2, 1], [4, 2, 2, 1]
[5, 2, 2, 0], [5, 2, 2, 0]
[6, 3, 3, 0], [6, 4, 3, 0]
[7, 3, 3, 1], [7, 4, 3, 1]
[8, 8, 4, 0], [8, 8, 4, 0]
[9, 8, 5, 1], [9, 8, 4, 1]
[10, 2, 6, 1], [10, 3, 5, 1]
[11, 8, 7, 0], [11, 8, 6, 0]
[12, 3, 1, 0], [12, 3, 6, 0]
