
new data
train
0212: pos_pair = 29, neg_pair = 1147
0110: pos_pair = 106, neg_pair = 2172
0915: pos_pair = 29, neg_pair = 1456
0443: pos_pair = 60, neg_pair = 1956
1484: pos_pair = 60, neg_pair = 975
0677: pos_pair = 43, neg_pair = 453
1386: pos_pair = 35, neg_pair = 1190
0413: pos_pair = 36, neg_pair = 1140
0098: pos_pair = 24, neg_pair = 537
0993: pos_pair = 54, neg_pair = 1272
0016: pos_pair = 23, neg_pair = 572
0845: pos_pair = 86, neg_pair = 2764
0701: pos_pair = 97, neg_pair = 849
0175: pos_pair = 64, neg_pair = 1647
1502: pos_pair = 15, neg_pair = 420
[0, 1, 2, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 9, 5, 12, 7, 1, 8, 0, 10, 14, 6, 13, 11, 4, 2]
1349: pos_pair = 42, neg_pair = 1389
1134: pos_pair = 27, neg_pair = 639
0627: pos_pair = 33, neg_pair = 670
1212: pos_pair = 58, neg_pair = 1427
0488: pos_pair = 23, neg_pair = 355
0410: pos_pair = 16, neg_pair = 390
1546: pos_pair = 19, neg_pair = 684
0570: pos_pair = 86, neg_pair = 1684
0737: pos_pair = 39, neg_pair = 1731
0061: pos_pair = 23, neg_pair = 1012
1574: pos_pair = 32, neg_pair = 1193
0001: pos_pair = 73, neg_pair = 1943
0153: pos_pair = 44, neg_pair = 1909
0132: pos_pair = 35, neg_pair = 745
1000: pos_pair = 148, neg_pair = 2702
0394: pos_pair = 88, neg_pair = 1290
0201: pos_pair = 27, neg_pair = 438
0156: pos_pair = 60, neg_pair = 1425
0548: pos_pair = 35, neg_pair = 706
1183: pos_pair = 42, neg_pair = 1849
0983: pos_pair = 23, neg_pair = 1012
0517: pos_pair = 55, neg_pair = 473
1234: pos_pair = 24, neg_pair = 276
1221: pos_pair = 82, neg_pair = 2474
0012: pos_pair = 36, neg_pair = 1449
0295: pos_pair = 35, neg_pair = 1141
0071: pos_pair = 52, neg_pair = 1601
1548: pos_pair = 17, neg_pair = 544
1286: pos_pair = 36, neg_pair = 867
0807: pos_pair = 37, neg_pair = 824
1148: pos_pair = 58, neg_pair = 1595
1520: pos_pair = 65, neg_pair = 1646
0262: pos_pair = 49, neg_pair = 1176
0856: pos_pair = 14, neg_pair = 286
[0, 1, 2, 3, 4, 4, 5, 5, 5, 6, 7, 8, 8, 9, 10, 11, 11, 0, 9, 2, 10, 3, 1, 7, 6]
1115: pos_pair = 220, neg_pair = 1158
0919: pos_pair = 14, neg_pair = 364
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, 11, 7, 9, 5, 3, 6, 8, 0, 2, 12, 4, 10, 1]
1448: pos_pair = 59, neg_pair = 437
0400: pos_pair = 65, neg_pair = 881
0883: pos_pair = 47, neg_pair = 1331
0499: pos_pair = 29, neg_pair = 917
0048: pos_pair = 69, neg_pair = 3672
0412: pos_pair = 62, neg_pair = 928
0558: pos_pair = 43, neg_pair = 1335
1381: pos_pair = 29, neg_pair = 377
0126: pos_pair = 50, neg_pair = 2095
1233: pos_pair = 39, neg_pair = 1287
1415: pos_pair = 40, neg_pair = 2445
1418: pos_pair = 37, neg_pair = 1733
0042: pos_pair = 11, neg_pair = 160
[0, 0, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 3, 8, 2, 6, 5, 7, 4]
1283: pos_pair = 16, neg_pair = 309
1450: pos_pair = 53, neg_pair = 1543
0319: pos_pair = 23, neg_pair = 538
1468: pos_pair = 41, neg_pair = 1670
0591: pos_pair = 36, neg_pair = 1560
1226: pos_pair = 21, neg_pair = 840
0036: pos_pair = 303, neg_pair = 2043
0520: pos_pair = 24, neg_pair = 1104
1531: pos_pair = 87, neg_pair = 774
0835: pos_pair = 18, neg_pair = 510
0973: pos_pair = 9, neg_pair = 144
[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 7, 8, 3, 7, 6, 8]
0264: pos_pair = 49, neg_pair = 2579
1316: pos_pair = 32, neg_pair = 1453
0381: pos_pair = 36, neg_pair = 1449
0896: pos_pair = 23, neg_pair = 757
1321: pos_pair = 62, neg_pair = 1163
0587: pos_pair = 66, neg_pair = 795
0389: pos_pair = 48, neg_pair = 3522
1276: pos_pair = 23, neg_pair = 757
1099: pos_pair = 54, neg_pair = 1027
0122: pos_pair = 37, neg_pair = 783
0049: pos_pair = 24, neg_pair = 1104
0702: pos_pair = 75, neg_pair = 2851
1540: pos_pair = 33, neg_pair = 1563
0145: pos_pair = 9, neg_pair = 144
[0, 0, 1, 2, 3, 4, 5, 5, 6, 7, 7, 8, 1, 2, 8, 3, 4, 6]
1052: pos_pair = 60, neg_pair = 1651
0873: pos_pair = 32, neg_pair = 1049
1339: pos_pair = 16, neg_pair = 390
0303: pos_pair = 29, neg_pair = 532
0247: pos_pair = 55, neg_pair = 2646
1224: pos_pair = 58, neg_pair = 2357
1449: pos_pair = 33, neg_pair = 913
0592: pos_pair = 62, neg_pair = 2353
0740: pos_pair = 13, neg_pair = 240
[0, 1, 1, 1, 2, 2, 3, 4, 5, 5, 6, 6, 7, 8, 8, 9, 10, 10, 4, 0, 9, 3, 7]
0192: pos_pair = 31, neg_pair = 1244
0710: pos_pair = 23, neg_pair = 643
1247: pos_pair = 20, neg_pair = 541
1471: pos_pair = 54, neg_pair = 1837
1012: pos_pair = 19, neg_pair = 684
1446: pos_pair = 34, neg_pair = 827
0869: pos_pair = 20, neg_pair = 386
1279: pos_pair = 58, neg_pair = 1268
0343: pos_pair = 50, neg_pair = 1175
0066: pos_pair = 116, neg_pair = 2512
0874: pos_pair = 41, neg_pair = 739
1085: pos_pair = 59, neg_pair = 1319
0468: pos_pair = 141, neg_pair = 2137
0610: pos_pair = 65, neg_pair = 2861
0479: pos_pair = 31, neg_pair = 1050
0849: pos_pair = 98, neg_pair = 1732
0682: pos_pair = 44, neg_pair = 1282
0386: pos_pair = 59, neg_pair = 844
0358: pos_pair = 33, neg_pair = 1920
1273: pos_pair = 20, neg_pair = 211
1476: pos_pair = 40, neg_pair = 1185
1288: pos_pair = 24, neg_pair = 276
1021: pos_pair = 24, neg_pair = 382
0243: pos_pair = 30, neg_pair = 1566
1564: pos_pair = 60, neg_pair = 570
0655: pos_pair = 23, neg_pair = 1012
1126: pos_pair = 23, neg_pair = 757
0512: pos_pair = 44, neg_pair = 1181
0101: pos_pair = 24, neg_pair = 1104
0147: pos_pair = 92, neg_pair = 1988
0806: pos_pair = 69, neg_pair = 1156
1392: pos_pair = 33, neg_pair = 1563
0741: pos_pair = 74, neg_pair = 1637
0380: pos_pair = 85, neg_pair = 1685
0821: pos_pair = 28, neg_pair = 1197
1361: pos_pair = 49, neg_pair = 3111
1522: pos_pair = 84, neg_pair = 1092
0198: pos_pair = 18, neg_pair = 333
0546: pos_pair = 42, neg_pair = 993
0859: pos_pair = 22, neg_pair = 573
0078: pos_pair = 34, neg_pair = 2244
1407: pos_pair = 31, neg_pair = 564
1004: pos_pair = 42, neg_pair = 1389
1464: pos_pair = 73, neg_pair = 3248
0258: pos_pair = 24, neg_pair = 606
0687: pos_pair = 47, neg_pair = 943
1217: pos_pair = 17, neg_pair = 308
0108: pos_pair = 27, neg_pair = 1404
1497: pos_pair = 15, neg_pair = 420
[0, 0, 1, 2, 2, 3, 4, 4, 5, 6, 7, 8, 8, 9, 9, 10, 11, 12, 12, 13, 13, 14, 14, 10, 11, 3, 6, 7, 5, 1]
0980: pos_pair = 49, neg_pair = 1079
0892: pos_pair = 22, neg_pair = 681
1384: pos_pair = 16, neg_pair = 480
0423: pos_pair = 41, neg_pair = 1040
0233: pos_pair = 51, neg_pair = 1965
0891: pos_pair = 98, neg_pair = 1855
