              ;precision    ;recall  ;f1-score   ;support
           0   ;    0.80   ;   0.85    ;  0.83    ;   728
           1   ;    0.94   ;   0.92    ;  0.93    ;   867
           2   ;    0.88   ;   0.80    ;  0.84    ;  1397
           3   ;    0.54   ;   0.52    ;  0.53    ;   666
           4   ;    0.71   ;   0.70    ;  0.70    ;   498
           5   ;    0.48   ;   0.57    ;  0.52    ;   388
           6   ;    0.97   ;   0.92    ;  0.94    ;   339
           7   ;    0.72   ;   0.82    ;  0.77    ;   217
           8   ;    0.61   ;   0.67    ;  0.64    ;   702
           9   ;    0.30   ;   0.23    ;  0.26    ;   125
          10   ;    0.16   ;   0.19    ;  0.17    ;   170
          11   ;    0.46   ;   0.40    ;  0.43    ;   150
          12   ;    0.44   ;   0.40    ;  0.42    ;    50
          13   ;    0.14   ;   0.10    ;  0.12    ;    48
          14   ;    0.50   ;   0.47    ;  0.48    ;    15
          15   ;    0.15   ;   0.22    ;  0.18    ;    45
          16   ;    0.24   ;   0.17    ;  0.20    ;    59
          17   ;    0.47   ;   0.33    ;  0.39    ;    76
          18   ;    0.27   ;   0.26    ;  0.26    ;    47
          19   ;    0.00   ;   0.00    ;  0.00    ;     2
          20   ;    0.00   ;   0.00    ;  0.00    ;     0
          21   ;    0.00   ;   0.00    ;  0.00    ;     1
          22   ;    0.12   ;   0.15    ;  0.13    ;    74

    accuracy    ;;;                       0.70  ;    6664
   macro avg    ;   0.43   ;   0.42   ;   0.42   ;   6664
weighted avg    ;   0.70   ;   0.70   ;   0.70   ;   6664

